Number,Photo,Artist,Artwork Title,Year,Location (Country),"Tentative Description (Note: each description was not provided by the artists, but was generated using artificial intelligence with human supervision, and is still open to different interpretations).",Website link,Author Photo / Copyrights ,,,,,,,,,,,,,,,,,,,,,,,,,,Aware_SD
577,Picture,Slim Safont,La Bañeza,2020,Spain,"A person, dressed in dark clothing, is walking with a hunched posture. They are pulling a cart or garbage bag, which is filled with some items. Attached to their arms and eventually to the cart are numerous colorful balloons, tethered by strings. These balloons appear to be floating behind them. The balloons are depicted in vibrant colors. The mural captures a sense of struggle as the person leans forward, exerting effort to move the items she's carrying.
",https://www.instagram.com/p/CEPbWaLITa1/,Slim Safont,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
578,Picture,Slim Safont & Jofre Oliveras,TIED UP,2019,Spain,"Paintings on three cylindrical silos, featuring three farmers engaging in agricultural work at different stages of labor, from tilling the land to gathering the wheat sheaves. The background landscape extends across the silos, creating a panorama of the fields they work in. The color palette is natural and earthy, with the browns of the soil and the golden hues of the wheat.",https://www.instagram.com/p/B4X7aGHo_o4/ ,Slim Safont,,,,,,,,,,,,,,,,,,,,,,,,,,3.00
579,Picture,"Aravani Art Project: Lead Artists: Purushi, Poornima Sukumar, Sadhna Prasad; Team Members: Liyafat Ali, Mohammad Hussain, Nayantara Joseph, Arif, Akmal, Maithri, Udhaya",Indru Namadhai. Today belongs to us.,,India,"Several smiling human faces each adorned in clothing with bright, bold patterns. The image features a colorful mural with the text ""TODAY BELONGS TO US"" prominently displayed at the top. (Note: reflects the spirit of Coimbatore's people, using colors and patterns inspired by the city to celebrate community and togetherness).",https://aravaniartproject.com/img/Projects/27_St_Art_Coimbatore/lg/image_28.jpg,Photographer: Pranav Gohil,,,,,,,,,,,,,,,,,,,,,,,,,,3.02
580,Picture,Aravani Art Project,,2022-2023,India,"Multiple human figures engaged in various activities. The central figures appear to be people adorned in traditional attire, interacting joyfully. The surroundings are embellished with bold patterns and floral motifs, and there is text in a non-Latin script, possibly Tamil, indicative of a cultural context. The color palette is bright and diverse.
",https://www.instagram.com/p/CmEP-Llpzfx/,Pranav Gohil https://www.instagram.com/pranavgohill/,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
581,Picture,"Aravani Art Project with Chifumi Krohom. Lead Artists: Raina, Sandeepta Das, Amrita, Neha, Diyasa, Sadhna Prasad, Poornima Sukumar. Team Members: Adrija, Aanup Acharya, Upasana, Nandini, Khushbu Agrawal, Stuti Agarwal, Saurav Ghosh, Anish Saraogi, Lovely Sharma, Pranjal Jain, Sejuti Malakar, Dr Soma Roy, Dr. Jaana, Mr. Pinto",Who am I? Know me! I exist.,,India,A mural painted on the side of a building showng a portrait of a person with an earnest expression alongside a colored bird in flight. The background has geometric patterns and a multicolored design. The color palette is varied.,https://www.instagram.com/p/B_ZqBhOJawq/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
582,Picture,Aravani Art Project,(Unknown Title),2020,India,"Coloured mural painted on the façade of a wave-roofed building. It shows a street scene with people and urban elements, with figures engaged in everyday activities such as walking, cycling, chatting, selling goods, and playing music. Vehicles like buses or tuk-tuks appear next to market stalls and street signs, indicating a community or neighbourhood setting. The mural uses strong contrasting colours — red, blue, yellow, green, and pink. Trees can be seen behind the building.",https://www.instagram.com/p/CGwnAgxJ_CT/,Photos: Srikanth Reddy @srikanth_1407,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
583,Picture,Aravani Art Project,Me/We,2020,India,"Scenes of everyday life with various individuals engaged in different activities. A person is hanging laundry, a child is playing with a dog, a person is sitting with their phone, and other individuals appear to be in conversation or contemplation. The artwork is set against a backdrop of a building with multiple windows. The color palette is diverse and bright.",https://www.instagram.com/p/B8iYu-tpvYT/,Pranav Gohil,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
584,Picture,Aravani Art Project,Me/We,2020,India,"A street scene with various human individuals depicted in a range of activities: a person on a balcony, a person with a child, another person riding a scooter, and a person with balloons. The text in the mural, written in Devanagari script, suggests a cultural context likely in India.The color palette is vivid and diverse.
",https://www.instagram.com/p/B8iYu-tpvYT/,Pranav Gohil,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
585,Picture,Aravani Art Project,Gender Free,2018,India,"The phrase ""GENDER FREE"" is presented in large letters, with a backdrop of diverse hands raised together within a colorful circle. Accompanying images include roses and the faces of individuals. The color palette is varied.",https://www.instagram.com/p/BoGZ_cvFmCf/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
586,Picture,Bogdan Scutaru,(Unknown Title),2018,Denmark,"A person's face with a focused expression, partially obscured by a respirator mask, commonly used in street art for protection against paint fumes. The mask covers their nose and mouth. Surrounding their head are soft, flowing green and white leaves. The background features a gradient of earthy tones, transitioning from a light beige on the left to a greenish hue on the right, complementing the foliage around their head. The mural is signed by the artist on the right side. ",https://www.facebook.com/BogdanIonutScutaru/posts/pfbid026WKwMvUtFbeKjHyziEZMFgiqSNqqg63W8Wo11gkCcbP8d2s9sWLzKaYZDpwjzFcql,Bogdan Scutaru,,,,,,,,,,,,,,,,,,,,,,,,,,2.17
587,Picture,Bogdan Scutaru,(Unknown Title),2017,Denmark,"A young child sleeping against a cosmic backdrop, filled with stars and nebulae. The color palette is dominated by cool blues and purples, typical of nighttime and space imagery.
",https://www.instagram.com/p/BX0IpfNhPCz/,Bogdan Scutaru,,,,,,,,,,,,,,,,,,,,,,,,,,2.13
588,Picture,Bogdan Scutaru,(Unknown Title),2017,Denmark,"A large, expressive face of a person, rendered primarily in shades of blue. The person appears to be screaming or shouting, with their mouth wide open, displaying their teeth. The use of blue dominates the entire image. The background transitions from darker shades of blue on the left to lighter tones on the right, blending into the figure. The artist's name along with ""Prison Ink 2017,"" is written in the lower left corner, also in blue. ","https://www.instagram.com/p/BUrcqE7gZpw/
",Bogdan Scutaru,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
589,Picture,Bogdan Scutaru,(Unknown Title),2022,Kosovo,"A young person's head, which appears to be duplicated, with a transparent or blue overlay slightly offset from the original head. This gives the impression of a dual or layered presence. The person's face occupy most of the upper section. Below them, there are blue satellite dishes, with one prominently centered and pointed skyward. their expression is calm and introspective, with their eyes gently closed and their head slightly tilted. The colors predominantly used are shades of blue and warm skin tones, creating a contrast between the cool, technological elements below and the soft, human expression above. The background has hints of pink and peach. The artist's name, are inscribed at the top right of the mural. The predominant colors are warm skin tones, light blues, and pinks, enhancing the sense of depth and complexity in the mural.","https://www.instagram.com/p/CloX31Hom8w/
",Bogdan Scutaru,,,,,,,,,,,,,,,,,,,,,,,,,,2.60
590,Picture,Juanjo Surace,Sabiduria de estado monárquico,2021,Spain,"Three baboons with their eyes blindfolded, ears covered, and mouths muzzled (reminiscent of the proverbial principle ""see no evil, hear no evil, speak no evil""). They are caged, and around the cage are instruments such as a microphone, a harmonica, and a book. The color palette is brown with touches of brighter colors.
",https://www.instagram.com/p/CLkQgvHB7UI/,Juanjo Surace,,,,,,,,,,,,,,,,,,,,,,,,,,2.20
591,Picture,NEVERCREW,Exhausting machine,2016,Canada,A large crumpled red plastic bottle lying horizontally across the wall. The bottle shows the creases and folds that result from it being crushed. A polar bear is lying inside the bottle. Emerging from the neck of the bottle is a straw. The background is a light blue color.,https://www.instagram.com/p/BJaiV_DgjW8/,NEVERCREW,,,,,,,,,,,,,,,,,,,,,,,,,,3.16
592,Picture,Tinho,untitled,2012,Netherlands,"The image displays a mural that blends elements of nature and urbanization. It depicts a pile of colorful rocks or possibly discarded items resembling a hill, with people in boats navigating the waters around it. The background features a sky with a gradient from yellow to pink, with silhouettes of buildings that fade into the sky, and a central, realistic column that could be part of the building where the mural is painted, integrating actual windows into the artwork. The color palette is varied in the lower section, with more muted and pastel tones in the sky.
",https://www.facebook.com/tinho23sp/photos/a.361683983868186/410097809026803/,Tinho,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
593,Picture,Tinho,(Unknown Title),2014,Tunisia,"A young person standing atop a pile of books stacked within a small boat, which is itself afloat on a sea of clothing. The boy, with a halo-like circle behind their head, is peering into the distance. The color palette has earth tones, contrasting with the colorful but disordered clothing below. ",https://www.facebook.com/tinho23sp/photos/a.724473197589261/724472984255949/,Tinho,,,,,,,,,,,,,,,,,,,,,,,,,,1.62
594,Picture,Tinho,(Unknown Title),2015,Brazil,"A young person seated on the ground, their head in their hands, with a sense of despair or sorrow. Next to their is a discarded or thrown away doll and a crumpled piece of paper. The color palette is muted with the exception of the red dress.",https://www.instagram.com/p/1WUD-qk3V4/,Tinho,,,,,,,,,,,,,,,,,,,,,,,,,,2.14
595,Picture,Tinho,(Unknown Title),2015,Brazil,"A person standing alone, wearing a long, flowing blue dress. their appearance is melancholic, with large, expressive eyes that convey a sense of longing. The girl's long black hair, with hints of green, is blown to the side as if caught by a breeze. They clutches tightly to a colorful patchwork doll in their arms, holding it close to their chest. The doll is colored. The ground beneath their is scattered with books, some open and some closed. The background features a gradient of warm tones, with orange at the top and fading into a bright yellow as it approaches the ground.",https://www.instagram.com/p/-XFtMrk3Zi/,Tinho,,,,,,,,,,,,,,,,,,,,,,,,,,1.59
